Nr tasks 94, Time 1.0456421375274658, Makespan 359, Max Temp 404.6, Top 1 percent highs 401.5007317073171 
Nr tasks 95, Time 1.1578481197357178, Makespan 359, Max Temp 404.6, Top 1 percent highs 401.6128919860627 
Nr tasks 96, Time 1.1667754650115967, Makespan 368, Max Temp 404.59, Top 1 percent highs 401.57921768707496 
Nr tasks 97, Time 1.124464511871338, Makespan 381, Max Temp 404.58, Top 1 percent highs 401.53289473684225 
Nr tasks 98, Time 1.1509931087493896, Makespan 381, Max Temp 404.59, Top 1 percent highs 401.5394407894739 
Nr tasks 99, Time 1.1644515991210938, Makespan 381, Max Temp 404.6, Top 1 percent highs 401.5401644736844 
Nr tasks 100, Time 1.183075189590454, Makespan 381, Max Temp 404.6, Top 1 percent highs 401.6619736842106 
Nr tasks 100, Time 1.2199265956878662, Makespan 381, Max Temp 404.6, Top 1 percent highs 401.6619736842106 
Nr tasks 110, Time 1.5743765830993652, Makespan 422, Max Temp 404.61, Top 1 percent highs 401.6741839762611 
Nr tasks 120, Time 2.029534339904785, Makespan 479, Max Temp 404.59, Top 1 percent highs 401.7145430809403 
Nr tasks 130, Time 2.450352430343628, Makespan 548, Max Temp 404.57, Top 1 percent highs 401.6308219178082 
Nr tasks 140, Time 3.0303714275360107, Makespan 579, Max Temp 404.58, Top 1 percent highs 401.7619222462204 
Nr tasks 150, Time 3.716860771179199, Makespan 649, Max Temp 406.07, Top 1 percent highs 401.9522543352601 
Nr tasks 160, Time 4.4474592208862305, Makespan 710, Max Temp 406.07, Top 1 percent highs 401.85695422535196 
Nr tasks 170, Time 5.205107688903809, Makespan 730, Max Temp 410.41, Top 1 percent highs 402.3795719178081 
Nr tasks 180, Time 6.366717576980591, Makespan 768, Max Temp 410.41, Top 1 percent highs 402.3570195439739 
Nr tasks 190, Time 7.024831533432007, Makespan 813, Max Temp 410.46, Top 1 percent highs 402.45858461538484 
Nr tasks 200, Time 8.106624126434326, Makespan 857, Max Temp 410.46, Top 1 percent highs 402.42970802919706 
Nr tasks 210, Time 9.48238730430603, Makespan 932, Max Temp 410.46, Top 1 percent highs 402.3713691275169 
Nr tasks 220, Time 10.785637617111206, Makespan 992, Max Temp 410.46, Top 1 percent highs 402.29375788146297 
Nr tasks 230, Time 12.494316339492798, Makespan 1018, Max Temp 410.46, Top 1 percent highs 402.4100245700248 
Nr tasks 240, Time 13.824839115142822, Makespan 1068, Max Temp 410.46, Top 1 percent highs 402.4580093676819 
Nr tasks 250, Time 15.933004379272461, Makespan 1107, Max Temp 410.46, Top 1 percent highs 402.4204858757063 
Nr tasks 260, Time 18.34244656562805, Makespan 1157, Max Temp 410.46, Top 1 percent highs 402.4319351351357 
Nr tasks 270, Time 19.64595651626587, Makespan 1187, Max Temp 410.46, Top 1 percent highs 402.4018229715495 
Nr tasks 280, Time 21.54942035675049, Makespan 1221, Max Temp 410.46, Top 1 percent highs 402.4873360655741 
Nr tasks 290, Time 24.2424476146698, Makespan 1259, Max Temp 410.46, Top 1 percent highs 402.5805561072498 
Nr tasks 300, Time 26.25424551963806, Makespan 1339, Max Temp 410.46, Top 1 percent highs 402.62738562091477 
Nr tasks 310, Time 27.578947067260742, Makespan 1361, Max Temp 410.46, Top 1 percent highs 402.65950367647025 
Nr tasks 320, Time 31.17729902267456, Makespan 1387, Max Temp 410.46, Top 1 percent highs 402.63441839495016 
Nr tasks 330, Time 34.53376293182373, Makespan 1433, Max Temp 410.46, Top 1 percent highs 402.5943891797556 
Nr tasks 340, Time 36.60389542579651, Makespan 1482, Max Temp 410.46, Top 1 percent highs 402.5610801687763 
Nr tasks 350, Time 39.09812664985657, Makespan 1555, Max Temp 410.46, Top 1 percent highs 402.49842443729875 
Nr tasks 360, Time 42.86759042739868, Makespan 1592, Max Temp 410.46, Top 1 percent highs 402.46856245090305 
Nr tasks 370, Time 45.723429441452026, Makespan 1630, Max Temp 410.46, Top 1 percent highs 402.4449693251527 
Nr tasks 380, Time 49.298370122909546, Makespan 1674, Max Temp 410.46, Top 1 percent highs 402.42288274831947 
Nr tasks 390, Time 54.329715967178345, Makespan 1709, Max Temp 410.46, Top 1 percent highs 402.4638624725665 
Nr tasks 400, Time 58.179593324661255, Makespan 1785, Max Temp 410.46, Top 1 percent highs 402.4084593837532 
